identifier,edition,rank
COMBEYS-bc640d-02fc,745,1404
COMBEYS-bc640d-03e7,983,1403
COMBEYS-bc640d-8c,111,1402
COMBEYS-bc640d-0315,770,1401
COMBEYS-bc640d-05c5,1466,1400
COMBEYS-bc640d-05c8,1469,1399
COMBEYS-bc640d-0413,1028,1398
COMBEYS-bc640d-05e7,1501,1397
COMBEYS-bc640d-05e0,1494,1396
COMBEYS-bc640d-0144,296,1395
COMBEYS-bc640d-0604,1530,1394
COMBEYS-bc640d-050a,1278,1393
COMBEYS-bc640d-93,118,1392
COMBEYS-bc640d-0449,1083,1391
COMBEYS-bc640d-042e,1056,1390
COMBEYS-bc640d-04c5,1207,1389
COMBEYS-bc640d-027b,616,1388
COMBEYS-bc640d-04ba,1196,1387
COMBEYS-bc640d-05fb,1521,1386
COMBEYS-bc640d-05db,1489,1385
COMBEYS-bc640d-029f,652,1384
COMBEYS-bc640d-045e,1104,1383
COMBEYS-bc640d-0558,1356,1382
COMBEYS-bc640d-01f1,473,1381
COMBEYS-bc640d-03f6,998,1380
COMBEYS-bc640d-0173,343,1379
COMBEYS-bc640d-0320,782,1378
COMBEYS-bc640d-026c,600,1377
COMBEYS-bc640d-0115,249,1376
COMBEYS-bc640d-05c3,1464,1375
COMBEYS-bc640d-0160,323,1374
COMBEYS-bc640d-054b,1343,1373
COMBEYS-bc640d-0610,1542,1372
COMBEYS-bc640d-040c,1021,1371
COMBEYS-bc640d-02de,715,1370
COMBEYS-bc640d-0124,264,1369
COMBEYS-bc640d-010b,239,1368
COMBEYS-bc640d-03d6,966,1367
COMBEYS-bc640d-05c6,1467,1366
COMBEYS-bc640d-fc,224,1365
COMBEYS-bc640d-0246,561,1364
COMBEYS-bc640d-02e5,722,1363
COMBEYS-bc640d-05d5,1482,1362
COMBEYS-bc640d-015d,320,1361
COMBEYS-bc640d-0409,1018,1360
COMBEYS-bc640d-c5,168,1359
COMBEYS-bc640d-05f1,1511,1358
COMBEYS-bc640d-04a1,1171,1357
COMBEYS-bc640d-017e,355,1356
COMBEYS-bc640d-02aa,663,1355
COMBEYS-bc640d-01f7,479,1354
COMBEYS-bc640d-026d,602,1353
COMBEYS-bc640d-0505,1273,1352
COMBEYS-bc640d-34,26,1351
COMBEYS-bc640d-0566,1370,1350
COMBEYS-bc640d-016b,335,1349
COMBEYS-bc640d-0589,1406,1348
COMBEYS-bc640d-03f3,995,1347
COMBEYS-bc640d-0316,771,1346
COMBEYS-bc640d-0477,1129,1345
COMBEYS-bc640d-02e7,724,1344
COMBEYS-bc640d-027d,618,1343
COMBEYS-bc640d-0540,1332,1342
COMBEYS-bc640d-40,39,1341
COMBEYS-bc640d-02cc,697,1340
COMBEYS-bc640d-02b5,674,1339
COMBEYS-bc640d-64,80,1338
COMBEYS-bc640d-029d,650,1337
COMBEYS-bc640d-05d8,1485,1336
COMBEYS-bc640d-012a,270,1335
COMBEYS-bc640d-b5,152,1334
COMBEYS-bc640d-b1,148,1333
COMBEYS-bc640d-ac,143,1332
COMBEYS-bc640d-01dd,453,1331
COMBEYS-bc640d-0106,234,1330
COMBEYS-bc640d-0517,1291,1329
COMBEYS-bc640d-a8,139,1328
COMBEYS-bc640d-0279,614,1327
COMBEYS-bc640d-0595,1418,1326
COMBEYS-bc640d-016c,336,1325
COMBEYS-bc640d-0309,758,1324
COMBEYS-bc640d-0154,312,1323
COMBEYS-bc640d-0157,315,1322
COMBEYS-bc640d-044f,1089,1321
COMBEYS-bc640d-0504,1272,1320
COMBEYS-bc640d-01de,454,1319
COMBEYS-bc640d-0486,1144,1318
COMBEYS-bc640d-0605,1531,1317
COMBEYS-bc640d-01b9,416,1316
COMBEYS-bc640d-0445,1079,1315
COMBEYS-bc640d-013a,286,1314
COMBEYS-bc640d-035d,844,1313
COMBEYS-bc640d-c3,166,1312
COMBEYS-bc640d-02f0,733,1311
COMBEYS-bc640d-0209,497,1310
COMBEYS-bc640d-02c2,687,1309
COMBEYS-bc640d-05a1,1430,1308
COMBEYS-bc640d-0330,798,1307
COMBEYS-bc640d-02c5,690,1306
COMBEYS-bc640d-05e1,1495,1305
COMBEYS-bc640d-04fd,1265,1304
COMBEYS-bc640d-0439,1067,1303
COMBEYS-bc640d-01fc,484,1302
COMBEYS-bc640d-71,93,1301
COMBEYS-bc640d-028c,633,1300
COMBEYS-bc640d-0182,359,1299
COMBEYS-bc640d-0145,297,1298
COMBEYS-bc640d-03de,974,1297
COMBEYS-bc640d-1b,2,1296
COMBEYS-bc640d-0382,881,1295
COMBEYS-bc640d-052b,1311,1294
COMBEYS-bc640d-e3,199,1293
COMBEYS-bc640d-05b4,1449,1292
COMBEYS-bc640d-0600,1526,1291
COMBEYS-bc640d-4f,55,1290
COMBEYS-bc640d-035a,841,1289
COMBEYS-bc640d-0276,611,1288
COMBEYS-bc640d-046c,1118,1287
COMBEYS-bc640d-042f,1057,1286
COMBEYS-bc640d-010d,241,1285
COMBEYS-bc640d-03b5,932,1284
COMBEYS-bc640d-0130,276,1283
COMBEYS-bc640d-41,40,1282
COMBEYS-bc640d-04af,1185,1281
COMBEYS-bc640d-039d,908,1280
COMBEYS-bc640d-02f1,734,1279
COMBEYS-bc640d-0132,278,1278
COMBEYS-bc640d-32,24,1277
COMBEYS-bc640d-65,81,1276
COMBEYS-bc640d-0162,325,1275
COMBEYS-bc640d-0381,880,1274
COMBEYS-bc640d-056a,1374,1273
COMBEYS-bc640d-03ac,923,1272
COMBEYS-bc640d-0399,904,1271
COMBEYS-bc640d-03b1,928,1270
COMBEYS-bc640d-ca,173,1269
COMBEYS-bc640d-4c,52,1268
COMBEYS-bc640d-84,103,1267
COMBEYS-bc640d-036f,862,1266
COMBEYS-bc640d-015c,319,1265
COMBEYS-bc640d-0363,850,1264
