Holder,HRI,Combeys
 erd184hecgaxyp00c2r2pfhdvaewtg2ds0fgz68t3zu045ug7d85ka6s9mazjm,551.5,1
 erd185rvrul963gzrlevs723k47evwzn20kfc3u4tnu8p2pr9pylfg3qywz2sx,619.5,1
 erd186gazjw8pe4r4844uu4rxp7vg58yaccx9z9xxjztk79rgd0ttdgqwhq05h,18.975694444444443,3
 erd187wcdv6gpx9pvmkt6dztdvgffggdzm34supt05rxkf9ql3jwdtsskvqj7t,31.350694444444443,3
 erd18cesq9rs8dxf9h2zh9qp0myycf5739mlynfur47grmt6puy3eteqtka6xa,2.8232750316021615,16
 erd18fcevfg9xn05lmjkwd5tu4gdf89rlj9r3zd35955csryfmknyrdqwdaft5,23.336805555555554,3
 erd18l5pc50j2pem3fk30qmr2xd6kc72h2pacw40g8zjnzqkl5hvqf3qecfm93,0.5435296038770963,10
 erd18u5q68usq0zfp9x0wnf9x09muydtvd509dpcxw5ptvk4ka7a326qnwhtyp,648.0,1
 erd19c2zu5jgfpxlxjzmr9mwsk7v80as44e3q8ywyvu3nhlhm935jpgs7eeffy,0.03515714705880437,12
 erd19d3lplhf4za0gdls48kcv2t9se8kzgmt2jac7xpxhrnpuzysnktslw2yyd,362.0,1
 erd19jszzg2wk4s7wzhl9la5j0t9j50cv3mr4gcm64t6qtqs658cqllq000xpr,60.375,2
 erd19rx7hahlau4f8lu25p5hlzhpatdm8td7ct8dmsxdra0q0mn65q4qjn936l,9.418073711547947,9
 erd19wkhsa7q3glrmrh9r0t2jxrkm4vlzdfxgvf6qh3cy06dz6kkda3suhs7qz,473.5,1
 erd19x049nslzkdmart4fyvmuey62alhvyh8runt8c9pvkuw4ttgladscfn9m6,402.0,1
 erd1a9csye0xnmcg2m33s8d6vxm6y9yeaz8w86c8xn8scmlgu3ec6r8shuslql,230.875,2
 erd1aa8wrrerc7dl6v7jpc4jhuamp5swya2hxl86ly8x83llasc9cezq2mvq3w,0.1797924141997284,42
 erd1adz0ud7q3edwv5de9suu6lcdz4lf4svje50vpplngkslhadvjmxqa0qwcr,291.5,1
 erd1ajdwv3kexfzf8c49h6gnttgtju7jz2p6efrsvf9eg3rcgk8z9sssuncmdz,22.880245225694445,5
 erd1akgsswj6wxkkdhcdv0emkt4sdl7hzjjs2lknajnr42wgynyz967q9mc362,5.422493489583333,5
 erd1al0fd0ek69mqsgu9lkpnspjd0j065qq6qwfug403mtvl2mv0v0jq0sytpk,14.779296875,4
 erd1amak5g7gg2htspng4gwh2797l0rt25pjfj3neans96tt7cgvkwqs7w8kdv,370.0,1
 erd1antkfvn9m9hc5xn92vm6kc0huwz93z2lh4mexmsmflsa54qtcvrshy62lc,5.47302311700277,10
 erd1azydwvvwd8hwsld4a737ldvnkmxjugxemsxcd8us7swql04une7sfhh57k,0.17454243589089094,48
 erd1c7ag50xxcsrw5vtpjgx8d5a957rnck5xdrvr9ah8wgr7j4nv083s8kq3nj,0.4581495795822936,36
 erd1cck5mf6rfkyczsp3zzse94vfp25t00tzyx29p7lsjn7fv6j43fkskmndqm,525.0,1
 erd1cd75w0zq0nu93lleew20zvqxcx2nrct3pzhculmd308yjxwlth5sf3uz50,749.5,1
 erd1cea86fk3medytxeyhvwcpx2xtp0j5g8g8snsrnjppphaa9v8ccgqj95gst,92.5,1
 erd1cfssap5q4nkntjxkpnqtsfv3tf0ncrp9lcn3zktvgyhe3va9uyzqf6pse0,257.0,1
 erd1cnnyl5v0x2r9m4qan4wfj49nwlfzfh3qwzv2e5rxg2c95e64ll2skl6arj,378.0,1
 erd1ctm4jnvl4hva6kxn3wj8wg2rpw8sml4xugwkl0jk7dvddhrqsnzqnvh4pr,31.8125,2
 erd1d387ys5magcdnavqmkvp4h8r2k6qh6wdt2r0hdg4g56umn7xnxkqn4mhfl,84.5625,2
 erd1d4d3c53g3fwyxa7s8ls2gmnneet50k2xnxnvdqp5ehhm7l384pzs6lh0yy,21.743055555555557,3
 erd1d68luglva4wr5ku5q7mc7l9d4nfzvaawp9wewzp2h256dnutwx6qmc49m2,277.0,1
 erd1d8caexkzyedz8dvd2t7ulutmry9a70wvez54pd8knl324g8rdncqjrw250,1.0726443522313553,13
 erd1dgmn40rf7tuseftsdll4y629mwlm3tvuwq7hm9m9t72h5jr40hnqm8jcam,86.25,2
 erd1djaulckxkuqlkcxyx7w90ht23hggkkmf8ttnm93atekn5glhsvmqpns58y,58.10069444444445,3
 erd1djcd3pch6tenlk07gjl58phq7yup5eqvp3s7qqatwqsf76fkqc7q2na63g,90.08333333333333,3
 erd1dmmalh3nycjt4v63jedn6530d8xwdh62flgq379v2ay45zm2sw6sa4u3kp,0.36756709299692136,37
 erd1duar0lcwunjtp80wwupjarjgw8yl5pjr6vg960zp5jzuefus7cgsmdpu92,72.5,1
 erd1ew93xsk4as00a3hg9qk3e2mmpefw9y5d266v8yhukne3ak062g3qzmrtek,25.142007378472222,5
 erd1ewxnfjfkxhn9zpf5cc54v54yvrg6wkjt90pukhra3qv5yafhzclq4un35q,0.6719419742206576,14
 erd1f4dw0ws0rv8kdwhm5s62ywchldr6l0l2gq36s7k7ky4cc0ya0saqnkpwtn,1.1109854488735127,17
 erd1f5lkzr9vmrz9yazq39vtewch7kkyg38508phwgcqqt8lz2ya4r2svv3ehu,96.4375,2
 erd1f6u6elxf5rgql2gu2cvcqv7qyd5zqzhhnkwsg7samxl88pyu3xhsfwf7h8,105.0625,2
 erd1fefvg0jeqpn5xdm4ersdxh9fqc7vzgjytda38tqyu5krs3uv3l3q74lswx,741.0,1
 erd1flpng88pfv50vglwqdx33fqdyq5mq532w0ejuf8xw4y56hmzg53sz2ej7g,548.5,1
 erd1fm3wf477ydnzr38j2ef7h74dx6y0rm5cxn5qmewh65jwjhzja74svuwzaj,77.0,1
 erd1frufdkl50m62jwr6ke62hnlvz4nglsx9v8k6tvd8vullxd7ayr8ssrcnta,542.5,1
 erd1g058zeufm39jp6hklkt4sh0m7r9l2d7ad3e3cq5vycqf7w3utjlsz520hv,18.579722222222223,5
 erd1g4ac7p4680hpcdfzhqyyycw2hlgz0c38a8y485rmrhztx66ssppqfvf32z,552.5,1
 erd1g4jjuwlnx5wzcqjngkm8hp0a8nlg9qcpt6fw37gcuae4ha97kxpsl72ml3,8.85692524474344,6
 erd1gc272d667c2kkp67zvcprt7pk62p9zfmddvlja50g946z5hy0hvse54tjq,15.717339409722221,4
 erd1gc8p4tktyh6yx2ahcf79g6g0gdk7ngmggsvs9w549y7zg8u2807sevffez,66.5,1
 erd1gjl7qt29j7wy5tkyy86pfsfdn3vq4hxsah6d87cdccew3ydzl9pse46hhr,388.0,1
 erd1gkn5eppdkrkpyaq852vkgkqudg62qmsfy4nvdyj9w07eed2nmkdq9rgrk5,95.31944444444444,3
 erd1gnrvkvqrl43z87yhuca0tetf9aa7eenn0xqqzt4lr9zt63v9l8eqx4h9pp,346.0,1
 erd1gsqegzjref54nv4hzjn9zhyze0g8us0tvm7fd5ph5z9z3tuqhzcq6g3503,373.0,1
 erd1gtgrcf4u8w0uyn5wdqrysx39c3v2x378geeu9ujur5lr4jta0uxqz4astx,496.0,1
 erd1gtzm2pfszxh572a7mmphdrhdag84saasvv27etmlqpagxutg60ps0yezqx,0.07331567771318057,92
 erd1h4jfryan9szkfxl35akc5q55aj9dm0esyx6v6jy9vd2nf9vrwk2qtfspqz,160.5,2
 erd1hjztgc8gley6m2rdhtg6h4yf2nt4wuhw59ljmgsqgcvnxrvgc8hq52pnfh,677.5,1
 erd1hrxpjhyl77nt30p335fhj8umfn7l0d2d83u4sapp4svuqkvhqlmsseu678,0.8833390197050239,14
 erd1hs80eda7y4fn7r6zpe9fqlgk9esq4qw6k74emasvhqs8phcxpugsafxmwn,454.5,1
 erd1hw7g9hp7nhwxgq0xv4zg5qm4partgvj3zja4xx27zvndk50ffmjq8p27fc,616.0,1
 erd1hy6az6smg09jjlhytyphyj7f4jeu726mkgslcd5jx6hruhcvr70sqxhhxq,87.6875,2
 erd1hyupxmejyk63hufmv2zlfauhfxen2e7t7kt0t062f9ctkxsredyqvwlg4y,239.0,1
 erd1j2l8wleyqpz0hcquwx6khvsaupl0emg67luc96sasfm2dv8nhvss0h6tks,495.0,1
 erd1j9rt82zsu9pjzksvya8mq8gqpxnv687jmqymszf9mz3mvef8yawquwggtd,206.9375,2
 erd1jf8yzc4fznvhjedcfern7q5lxgyavn30dsj7sw37qeklaveq3s0sx2cd5g,769.0,1
 erd1jge2r79mtazyp5vuu8xqyr7k8u8r4mm3v3rv9947ekytc08rkzesjsk2h9,587.0,1
 erd1jpguqnnx4wagff3yk37535q7j05k67837jzp52sz4nvwr4ra5a6sh6qk39,132.4375,2
 erd1jqgs20qvfc8f7cvpzupavtdny3clmmepx5zkcyg3apl59j4rlt7s7u2wrr,95.9375,2
 erd1jvk6wv0f8f8gwx75adewxrygjkxsxsuyhgct8sh5shkamqszktwq3pxgs4,205.0,2
 erd1jytjhku2qtytfskescl86k3kykzwt5dfk2m9pzat7wnyazaraekstpm88s,442.0,1
 erd1k4umqhapvve4d30nv3p7u4dxcyjmzdnly4thkvx7xn82mzufcjqq76vlqm,0.25242404259199275,46
 erd1kdj4sqwmactlqf30wasuhzf7glgna328mrtf20e3c94z8z24pmsqsdk3pr,165.0,1
 erd1ke9aays99fnf8jc2njdym5j2ndn0dvw45s6exd6yxpq3umwlcfsq8xduth,229.0,1
 erd1kgjx9yzzwgu73wqqn6n3mf6e0hwrux3fg0adqxqkgxetzl3hncequsjuhg,41.0,1
 erd1km88sw58lr59235y33xh6rl3qxvl68g2v3qvztcn3psyr66qz52qt826h3,153.5625,2
 erd1kqunvggm0qacv4fa6ypj5m364mmhf4wtueeejn7lw0dqdemvc5yshhkp4a,0.2262167156257439,14
 erd1ksp4dzrqtfws0jrpty83ejf8ncgguvv33pm7z52dxpzeefp7w0ysg4tsr0,48.6875,2
 erd1kt7dgum69fjatke30rnzjr62avwwh4gh4qcwm7u4qx82mps9xews3j467s,115.125,2
 erd1kvn4872k9a6evss6zf8d6z62rvtqqylwq8sckx2yv5drkc3mf0lq6zdnnq,328.5,1
 erd1kxjngrv472qdcwh4ft238ey3zjj29awre5hlx9z7a8v096r4pq7sku4h7z,499.0,1
