identifier,rank,edition
COMBEYS-bc640d-02fc,1404,745
COMBEYS-bc640d-03e7,1403,983
COMBEYS-bc640d-8c,1402,111
COMBEYS-bc640d-0315,1401,770
COMBEYS-bc640d-05c5,1400,1466
COMBEYS-bc640d-05c8,1399,1469
COMBEYS-bc640d-0413,1398,1028
COMBEYS-bc640d-05e7,1397,1501
COMBEYS-bc640d-05e0,1396,1494
COMBEYS-bc640d-0144,1395,296
COMBEYS-bc640d-0604,1394,1530
COMBEYS-bc640d-050a,1393,1278
COMBEYS-bc640d-93,1392,118
COMBEYS-bc640d-0449,1391,1083
COMBEYS-bc640d-042e,1390,1056
COMBEYS-bc640d-04c5,1389,1207
COMBEYS-bc640d-027b,1388,616
COMBEYS-bc640d-04ba,1387,1196
COMBEYS-bc640d-05fb,1386,1521
COMBEYS-bc640d-05db,1385,1489
COMBEYS-bc640d-029f,1384,652
COMBEYS-bc640d-045e,1383,1104
COMBEYS-bc640d-0558,1382,1356
COMBEYS-bc640d-01f1,1381,473
COMBEYS-bc640d-03f6,1380,998
COMBEYS-bc640d-0173,1379,343
COMBEYS-bc640d-0320,1378,782
COMBEYS-bc640d-026c,1377,600
COMBEYS-bc640d-0115,1376,249
COMBEYS-bc640d-05c3,1375,1464
COMBEYS-bc640d-0160,1374,323
COMBEYS-bc640d-054b,1373,1343
COMBEYS-bc640d-0610,1372,1542
COMBEYS-bc640d-040c,1371,1021
COMBEYS-bc640d-02de,1370,715
COMBEYS-bc640d-0124,1369,264
COMBEYS-bc640d-010b,1368,239
COMBEYS-bc640d-03d6,1367,966
COMBEYS-bc640d-05c6,1366,1467
COMBEYS-bc640d-fc,1365,224
COMBEYS-bc640d-0246,1364,561
COMBEYS-bc640d-02e5,1363,722
COMBEYS-bc640d-05d5,1362,1482
COMBEYS-bc640d-015d,1361,320
COMBEYS-bc640d-0409,1360,1018
COMBEYS-bc640d-c5,1359,168
COMBEYS-bc640d-05f1,1358,1511
COMBEYS-bc640d-04a1,1357,1171
COMBEYS-bc640d-017e,1356,355
COMBEYS-bc640d-02aa,1355,663
COMBEYS-bc640d-01f7,1354,479
COMBEYS-bc640d-026d,1353,602
COMBEYS-bc640d-0505,1352,1273
COMBEYS-bc640d-34,1351,26
COMBEYS-bc640d-0566,1350,1370
COMBEYS-bc640d-016b,1349,335
COMBEYS-bc640d-0589,1348,1406
COMBEYS-bc640d-03f3,1347,995
COMBEYS-bc640d-0316,1346,771
COMBEYS-bc640d-0477,1345,1129
COMBEYS-bc640d-02e7,1344,724
COMBEYS-bc640d-027d,1343,618
COMBEYS-bc640d-0540,1342,1332
COMBEYS-bc640d-40,1341,39
COMBEYS-bc640d-02cc,1340,697
COMBEYS-bc640d-02b5,1339,674
COMBEYS-bc640d-64,1338,80
COMBEYS-bc640d-029d,1337,650
COMBEYS-bc640d-05d8,1336,1485
COMBEYS-bc640d-012a,1335,270
COMBEYS-bc640d-b5,1334,152
COMBEYS-bc640d-b1,1333,148
COMBEYS-bc640d-ac,1332,143
COMBEYS-bc640d-01dd,1331,453
COMBEYS-bc640d-0106,1330,234
COMBEYS-bc640d-0517,1329,1291
COMBEYS-bc640d-a8,1328,139
COMBEYS-bc640d-0279,1327,614
COMBEYS-bc640d-0595,1326,1418
COMBEYS-bc640d-016c,1325,336
COMBEYS-bc640d-0309,1324,758
COMBEYS-bc640d-0154,1323,312
COMBEYS-bc640d-0157,1322,315
COMBEYS-bc640d-044f,1321,1089
COMBEYS-bc640d-0504,1320,1272
COMBEYS-bc640d-01de,1319,454
COMBEYS-bc640d-0486,1318,1144
COMBEYS-bc640d-0605,1317,1531
COMBEYS-bc640d-01b9,1316,416
COMBEYS-bc640d-0445,1315,1079
COMBEYS-bc640d-013a,1314,286
COMBEYS-bc640d-035d,1313,844
COMBEYS-bc640d-c3,1312,166
COMBEYS-bc640d-02f0,1311,733
COMBEYS-bc640d-0209,1310,497
COMBEYS-bc640d-02c2,1309,687
COMBEYS-bc640d-05a1,1308,1430
COMBEYS-bc640d-0330,1307,798
COMBEYS-bc640d-02c5,1306,690
COMBEYS-bc640d-05e1,1305,1495
COMBEYS-bc640d-04fd,1304,1265
COMBEYS-bc640d-0439,1303,1067
COMBEYS-bc640d-01fc,1302,484
COMBEYS-bc640d-71,1301,93
COMBEYS-bc640d-028c,1300,633
COMBEYS-bc640d-0182,1299,359
COMBEYS-bc640d-0145,1298,297
COMBEYS-bc640d-03de,1297,974
COMBEYS-bc640d-1b,1296,2
COMBEYS-bc640d-0382,1295,881
COMBEYS-bc640d-052b,1294,1311
COMBEYS-bc640d-e3,1293,199
COMBEYS-bc640d-05b4,1292,1449
COMBEYS-bc640d-0600,1291,1526
